card_number,expiry_date,card_provider,date_payment_confirmed
VAB9DSB8ZM,NWS3P2W38H,NB71VBAHJE,GTC9KBWJO9
MOZOT5Q95V,8YJ3TYH6Z5,WJVMUO4QX6,DJIXF1AFAZ
K0084A9R99,ACT9K6ECRJ,JRPRLPIBZ2,H2PCQP4W50
Y8ITI33X30,WDWMN9TU45,TS8A81WFXV,XTD27ANR5Q
RNSCD8OCIM,VNLNMWPJII,JCQMU8FN85,7VGB4DA1WI
MIK9G2EMM0,4FI5GTUVYG,5CJH7ABGDR,RLQYRRYHPU
I4PWLWSIRJ,RF1ACW165R,DE488ORDXY,T008RE1ZR6
OMZSBN2XG3,6JJKS7R0WA,OGJTXI6X1H,7FL8EU9GBF
NB8JJ05D7R,XRPE6C4GS9,1M38DYQTZV,GD9PHJXQR4
G0EF4TS8C8,5VN8HOLMVE,DLWF2HANZF,WCK463ZO1Z
Z8855EXTJX,Q7VGWP7LH9,XGZBYBYGUW,OE3KONN2V6
JQTLQAAQTD,ZBGGFGY4H0,UA07L7EILH,T995FX2C7W
T23BTBBJDD,UMR9FIE22M,BU9U947ZGV,EVVMMB3QYV
LSWT9DT4G4,2ANT8LW3I5,5MFWFBZRM9,UZGSD0AEBT
